Station,Lat,Lon,Fished
N01,57.76146667,-163.96815,Y
N02,57.61218333,-164.01955,Y
N03,57.47203333,-164.058,Y
N04,57.29811667,-164.0601667,Y
N05,57.13495,-164.06245,Y
N06,56.9831,-164.05105,Y
N07,56.79805,-163.9926333,Y
N08,56.64138333,-164.0252333,Y
N09,56.4892,-164.0155,Y
N10,56.30668333,-164.0134333,Y
N11,56.14146667,-164.0100833,Y
N12,55.98666667,-164.021,Y
N13,55.81471667,-163.99185,Y
N14,55.64191667,-164.01545,Y
N15,55.46823333,-163.9825333,Y
N16,55.30668333,-164.01295,Y
N17,55.14958333,-164.0169833,Y
O01,57.80935,-163.5365,Y
O02,57.62183333,-163.5947167,Y
O03,57.46928333,-163.6282833,Y
O04,57.30771667,-163.6062333,Y
O05,57.1484,-163.5784667,Y
O06,56.97226667,-163.6304333,Y
O07,56.77623333,-163.54875,Y
O08,56.62075,-163.6071833,Y
O09,56.47158333,-163.5757833,Y
O10,56.3182,-163.5359167,Y
O11,56.11875,-163.5227167,Y
O12,55.95766667,-163.5603833,Y
O13,55.79186667,-163.5995667,Y
O14,55.62066667,-163.6388,Y
O15,55.4562,-163.5986167,Y
O16,55.3136,-163.5710333,Y
O17,55.17436667,-163.5789667,Y
P01,57.78551667,-163.1249,Y
P02,57.62778333,-163.1135,Y
P03,57.44663333,-163.0545167,Y
P04,57.28656667,-163.0729333,Y
P05,57.15366667,-163.1155,Y
P06,56.98023333,-163.1334333,Y
P07,56.82243333,-163.1239,Y
P08,56.6468,-163.08435,Y
P09,56.46626667,-163.0677,Y
P10,56.30548333,-163.0935,Y
P11,56.15525,-163.10035,Y
P12,55.97611667,-163.1949,Y
P13,55.85865,-163.1350333,Y
P14,55.64136667,-163.1274167,Y
P15,55.47643205,-163.1101381,N
P16,55.31211667,-163.1254667,Y
Q01,57.79558333,-162.63975,Y
Q02,57.6223,-162.6358833,Y
Q03,57.45563333,-162.6315833,Y
Q04,57.30028333,-162.6367833,Y
Q05,57.12888333,-162.6316167,Y
Q06,56.98368333,-162.6187667,Y
Q07,56.80566667,-162.6707333,Y
Q08,56.63731667,-162.6309333,Y
Q09,56.44673333,-162.6859167,Y
Q10,56.2961,-162.6551833,Y
Q11,56.14701667,-162.6742167,Y
Q12,55.97166667,-162.6747,Y
Q13,55.80248333,-162.6979833,Y
Q14,55.64706667,-162.6521833,Y
Q15,55.47781667,-162.7234833,Y
R01,57.7915,-162.1371667,Y
R02,57.61508333,-162.1755,Y
R03,57.46133333,-162.1772333,Y
R04,57.29051667,-162.1876333,Y
R05,57.14413333,-162.23125,Y
R06,56.96666667,-162.18245,Y
R07,56.81771667,-162.16075,Y
R08,56.64065,-162.2007167,Y
R09,56.47155,-162.2142167,Y
R10,56.31768333,-162.18425,Y
R11,56.16228333,-162.2481333,Y
R12,55.99413333,-162.28425,Y
R13,55.8146,-162.2215833,Y
S01,57.77661667,-161.6882,Y
S02,57.58846667,-161.6873667,Y
S03,57.44111667,-161.6852167,Y
S04,57.27746667,-161.69755,Y
S05,57.09451667,-161.7086667,Y
S06,56.95631667,-161.6928833,Y
S07,56.78831667,-161.6927667,Y
S08,56.61426667,-161.7100667,Y
S09,56.46241667,-161.7057167,Y
S10,56.2931,-161.7216167,Y
S11,56.13161667,-161.7204167,Y
S12,55.96211667,-161.7469833,Y
T01,57.76578333,-161.2042,Y
T02,57.62365,-161.2459333,Y
T03,57.43693333,-161.2664667,Y
T04,57.26793333,-161.2530833,Y
T05,57.11543333,-161.2507,Y
T06,56.94916667,-161.2850667,Y
T07,56.7869,-161.2815833,Y
T08,56.6189,-161.2790833,Y
T09,56.44946667,-161.3174333,Y
T10,56.29331667,-161.2866167,Y
T11,56.11401667,-161.3156167,Y
U01,57.77006667,-160.7618167,Y
U02,57.56005,-160.7748333,Y
U03,57.4467,-160.7503167,Y
U04,57.27266667,-160.8238833,Y
U05,57.11706667,-160.8172667,Y
U06,56.93311667,-160.8239,Y
U07,56.76641667,-160.8418667,Y
U08,56.59338333,-160.8504667,Y
U09,56.45121667,-160.8756667,Y
U10,56.26396667,-160.826,Y
U11,56.13046667,-160.88495,Y
V01,57.75536667,-160.2765833,Y
V02,57.56395,-160.3307167,Y
V03,57.43528333,-160.2958833,Y
V04,57.26573333,-160.3139167,Y
V05,57.10443333,-160.34575,Y
V06,56.92436667,-160.3656167,Y
V07,56.76463333,-160.40125,Y
V08,56.60291667,-160.3850167,Y
V09,56.3945,-160.4158333,Y
V10,56.22439167,-160.4,N
W01,57.73283333,-159.80015,Y
W02,57.56853333,-159.83665,Y
W03,57.4088,-159.8425833,Y
W04,57.27921667,-159.87345,Y
W05,57.0736,-159.8622667,Y
W06,56.90916667,-159.9396833,Y
W07,56.75175,-159.9224333,Y
W08,56.61796667,-159.9299167,Y
